"RECORD_ID","TEAM_ID","TRANSACTION_DATE","AMOUNT","DESCRIPTION"
1000000046,1000000001,2024-06-01 00:00:00.000,-2350000,球员薪水
1000000047,1000000001,2024-06-01 00:00:00.000,-579700,职员薪水
1000000048,1000000001,2024-06-30 00:00:00.000,-434390,忠诚奖金
1000000049,1000000001,2024-06-05 00:00:00.000,-415700,比赛日支出
1000000050,1000000001,2024-06-03 00:00:00.000,-109700,非足球成本
1000000051,1000000001,2024-06-04 00:00:00.000,-113500,场地维护
1000000052,1000000001,2024-06-02 00:00:00.000,-887500,交税
1000000053,1000000001,2024-06-30 00:00:00.000,-34500,其他
1000000054,1000000001,2024-06-01 00:00:00.000,5754900,商业赞助
1000000055,1000000001,2024-06-29 00:00:00.000,247600,门票收入
1000000056,1000000001,2024-06-01 00:00:00.000,87500,电视转播权
1000000156,1000000001,2024-08-02 00:00:00.000,-563000,职员薪水
1000000058,1000000001,2024-05-01 00:00:00.000,-2350000,球员薪水
1000000060,1000000001,2024-05-02 00:00:00.000,-579700,职员薪水
1000000059,1000000001,2024-05-29 00:00:00.000,-313900,忠诚奖金
1000000061,1000000001,2024-05-28 00:00:00.000,-330980,比赛日支出
1000000062,1000000001,2024-05-26 00:00:00.000,-202300,非足球成本
1000000063,1000000001,2024-05-27 00:00:00.000,-110300,场地维护
1000000064,1000000001,2024-05-25 00:00:00.000,-936500,交税
1000000065,1000000001,2024-05-31 00:00:00.000,-44700,其他
1000000066,1000000001,2024-05-01 00:00:00.000,6483000,商业赞助
1000000067,1000000001,2024-05-30 00:00:00.000,275800,门票收入
1000000068,1000000001,2024-05-01 00:00:00.000,103400,电视转播权
1000000069,1000000001,2024-05-31 00:00:00.000,23000,其他
1000000070,1000000002,2024-06-01 00:00:00.000,-5032600,球员薪水
1000000071,1000000002,2024-05-01 00:00:00.000,-5032600,球员薪水
1000000072,1000000002,2024-06-02 00:00:00.000,-433600,职员薪水
1000000073,1000000002,2024-05-01 00:00:00.000,-433600,职员薪水
1000000074,1000000002,2024-06-07 00:00:00.000,-340000,忠诚奖金
1000000075,1000000002,2024-05-06 00:00:00.000,-335000,忠诚奖金
1000000076,1000000002,2024-06-06 00:00:00.000,-219000,比赛日支出
1000000077,1000000002,2024-05-05 00:00:00.000,-247800,比赛日支出
1000000078,1000000002,2024-06-04 00:00:00.000,-113500,非足球成本
1000000079,1000000002,2024-05-03 00:00:00.000,-134700,非足球成本
1000000080,1000000002,2024-06-05 00:00:00.000,-109900,场地维护
1000000081,1000000002,2024-05-04 00:00:00.000,-97400,场地维护
1000000082,1000000002,2024-06-03 00:00:00.000,-919300,交税
1000000083,1000000002,2024-05-02 00:00:00.000,-869700,交税
1000000084,1000000002,2024-06-30 00:00:00.000,-24500,其他
1000000085,1000000002,2024-05-31 00:00:00.000,-13900,其他
1000000086,1000000002,2024-06-02 00:00:00.000,6509000,商业赞助
1000000087,1000000002,2024-05-01 00:00:00.000,6026700,商业赞助
1000000094,1000000003,2024-06-01 00:00:00.000,-6605400,球员薪水
1000000095,1000000003,2024-05-01 00:00:00.000,-6605400,球员薪水
1000000096,1000000003,2024-06-01 00:00:00.000,-612300,职员薪水
1000000097,1000000003,2024-05-01 00:00:00.000,-612300,职员薪水
1000000098,1000000003,2024-06-29 00:00:00.000,-558900,忠诚奖金
1000000099,1000000003,2024-05-29 00:00:00.000,-558900,忠诚奖金
1000000101,1000000003,2024-06-28 00:00:00.000,-322000,比赛日支出
1000000102,1000000003,2024-05-28 00:00:00.000,-298700,比赛日支出
1000000103,1000000003,2024-06-26 00:00:00.000,-156800,非足球成本
1000000104,1000000003,2024-05-26 00:00:00.000,-176800,非足球成本
1000000105,1000000003,2024-06-27 00:00:00.000,-118000,场地维护
