"TRAINING_ID","TRAIN_FOCUS","TEAM_FORMATION","TRAIN_SCORE","TEAM_FAMILIARITY","TRAIN_INTENSION","TRAIN_STADIUM_ID","TRAIN_TEAM_ID"
10000027,快速反击,352,52,88,高强度,10008,1000000003
10000005,边路进攻,4231,30,89,均衡,10008,1000000003
10000024,全攻全守,4321,88,93,高强度,10004,1000000005
10000028,长传反击,4132,33,88,均衡,10001,1000000003
10000031,长传球,4132,44,73,高强度,,1000000006
10000033,外侧,451,87,81,均衡,10005,1000000006
10000035,防守反击,433,72,85,恢复训练,10005,1000000006
10000038,快速反击,4321,53,86,高强度,10007,1000000006
10000039,外侧,442,72,95,均衡,10003,1000000008
10000041,快速反击,4132,69,92,均衡,10003,1000000008
10000042,防守反击,541,40,49,高强度,10006,1000000008
10000043,外侧,352,81,72,均衡,,1000000004
10000046,快速反击,4231,87,89,均衡,10001,1000000004
10000047,全攻全守,442,34,51,高强度,,1000000002
10000048,防守反击,442,44,73,高强度,,1000000002
10000050,长传球,442,69,92,均衡,10004,1000000002
10000053,外侧,541,69,88,均衡,10002,1000000001
10000002,防守反击,442,50,72,高强度,10002,1000000003
10000009,长传球,541,50,50,均衡,,1000000002
10000010,控球游戏,4231,50,50,均衡,10008,1000000003
10000015,长传反击,4321,73,80,均衡,10006,1000000007
10000017,全攻全守,4231,73,63,恢复训练,10006,1000000007
10000016,快速反击,4132,87,95,高强度,10006,1000000007
10000018,长传球,4132,81,69,均衡,10006,1000000005
10000019,快速反击,4231,63,58,均衡,10006,1000000005
10000020,全攻全守,4231,32,78,均衡,10006,1000000005
10000021,控球游戏,4132,48,78,均衡,10006,1000000005
10000022,控球游戏,4132,48,78,均衡,10007,1000000005
10000025,防守反击,442,61,90,恢复训练,,1000000005
10000029,长传球,4321,57,59,高强度,10004,1000000003
10000036,长传球,4321,85,91,均衡,10005,1000000006
10000044,长传球,352,81,59,均衡,,1000000004
10000049,外侧,442,59,87,高强度,,1000000002
10000051,快速反击,4132,24,48,高强度,10002,1000000001
10000054,外侧,4321,78,73,均衡,10002,1000000001
10000023,控球游戏,4132,69,84,均衡,10004,1000000005
10000032,全攻全守,4321,62,92,高强度,10008,1000000006
10000037,防守反击,4321,65,97,高强度,10005,1000000006
10000045,全攻全守,532,71,50,高强度,,1000000004
10000055,防守反击,433,88,78,均衡,10011,1000000007
10000026,长传反击,541,36,94,均衡,10008,1000000005
10000030,全攻全守,451,66,73,均衡,,1000000006
10000034,防守反击,433,46,56,均衡,10005,1000000006
10000040,长传反击,4132,54,85,均衡,10003,1000000008
10000052,长传反击,442,60,78,均衡,10002,1000000001
